wave,tool,host,global_index,dataset_name,dataset_dir,task_key,status,seconds,result_relpath,source_result_path,rerun_reason,archive_error
W1,gplearn,anon-node-01,37,PO14,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14|seed=1314,timed_out,3604.337,results/W1/gplearn/anon-node-01/g0037_PO14/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/PO14/result.json,,
W1,gplearn,anon-node-01,38,feynman-i.44.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4|seed=1314,timed_out,3604.469,results/W1/gplearn/anon-node-01/g0038_feynman-i.44.4/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-i.44.4/result.json,,
W1,gplearn,anon-node-01,39,feynman-ii.11.3,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3|seed=1314,timed_out,3604.514,results/W1/gplearn/anon-node-01/g0039_feynman-ii.11.3/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.11.3/result.json,,
W1,gplearn,anon-node-01,40,feynman-bonus.16,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16|seed=1314,timed_out,3604.162,results/W1/gplearn/anon-node-01/g0040_feynman-bonus.16/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-bonus.16/result.json,,
W1,gplearn,anon-node-01,41,feynman-bonus.11,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11|seed=1314,timed_out,3604.516,results/W1/gplearn/anon-node-01/g0041_feynman-bonus.11/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-bonus.11/result.json,,
W1,gplearn,anon-node-01,42,feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5|seed=1314,timed_out,3604.593,results/W1/gplearn/anon-node-01/g0042_feynman-bonus.5/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-bonus.5/result.json,,
W1,gplearn,anon-node-01,43,feynman-i.18.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4|seed=1314,timed_out,3603.98,results/W1/gplearn/anon-node-01/g0043_feynman-i.18.4/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-i.18.4/result.json,,
W1,gplearn,anon-node-01,44,feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5|seed=1314,timed_out,3604.952,results/W1/gplearn/anon-node-01/g0044_feynman-bonus.5/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-bonus.5/result.json,,
W1,gplearn,anon-node-01,45,feynman-i.11.19,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19|seed=1314,timed_out,3604.188,results/W1/gplearn/anon-node-01/g0045_feynman-i.11.19/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-i.11.19/result.json,,
W1,gplearn,anon-node-01,46,feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4|seed=1314,timed_out,3604.292,results/W1/gplearn/anon-node-01/g0046_feynman-ii.15.4/result.json,/home/anonymous/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w1_20260424-041046/anon-node-01/gplearn/feynman-ii.15.4/result.json,,
